category,value,percentage
Vehicle - alone,82981,0.5364341586398603
Vehicle - carpooled,11280,0.07292003361561833
Public transportation,26152,0.1690607020492598
Walked,15791,0.10208158251987846
Other means,4524,0.029245587950093736
Worked from home,13962,0.09025793522528928

