RegionID,SizeRank,RegionName,RegionType,StateName,Y2019,Y2020,Y2021,Y2022,Y2023
394332,148,"Ann Arbor, MI",msa,MI,265957.75,273730.5833,308111.25,332699.25,345511.0833
394732,190,"Kalamazoo, MI",msa,MI,159242.5833,173237.25,194989.0833,212628.1667,226843
395047,233,"Saginaw, MI",msa,MI,102085,112732.3333,131572.5,138619.25,145400.1667
394896,250,"Muskegon, MI",msa,MI,132157.4167,141605.6667,158923,181189.6667,189922.25
394710,272,"Jackson, MI",msa,MI,132908.4167,143730.25,157757.4167,164616.9167,171420.6667
394917,282,"Niles, MI",msa,MI,172246.0833,192091.5833,202588.4167,217171.1667,230455.4167
394873,283,"Monroe, MI",msa,MI,166639,174439.4167,187785.5,209220.8333,217189.25
395163,287,"Traverse City, MI",msa,MI,230200.0833,254085.5,282195.3333,326940.3333,359592.9167
394368,318,"Battle Creek, MI",msa,MI,118746,127343.75,142605.3333,151740.75,154240.0833
753890,347,"Holland, MI",msa,MI,181055,212537.3333,237166.6667,272397.25,267302
394369,380,"Bay City, MI",msa,MI,95326.66667,100392.4167,120473.1667,136808.3333,138828.0833
394302,393,"Adrian, MI",msa,MI,142709.5,149622.0833,163380.6667,186096.8333,186414.4167
394859,437,"Midland, MI",msa,MI,142425.8333,143335.5833,166934.3333,192485.1667,195964.6667
394829,500,"Marquette, MI",msa,MI,158208.75,171632.5833,168570.25,180318.6667,206123.0833
394885,502,"Mount Pleasant, MI",msa,MI,137243.9167,142396.4167,142626.25,154129.8333,164999.6667
395136,532,"Sturgis, MI",msa,MI,121429.5833,133761.9167,150372.0833,164280.8333,165369.3333
394431,617,"Cadillac, MI",msa,MI,124131.25,146058.0833,165103,178126.6667,205349.0833
753889,645,"Hillsdale, MI",msa,MI,116590.25,140261.5,145686,172332.5,163019.4167
394482,660,"Coldwater, MI",msa,MI,116150.1667,121654.3333,135848.75,156971.5833,164940.8333
394319,684,"Alma, MI",msa,MI,88947.41667,106399,115748.25,128760.0833,140342.0833
394384,697,"Big Rapids, MI",msa,MI,117159.1667,141630.8333,150987.5833,170831.4167,170539.3333
753901,822,"Ludington, MI",msa,MI,129556.4167,163114.25,180613.6667,215418.25,210924
394865,16,"Minneapolis, MN",msa,MN,262747.6667,284056.5833,316143.6667,337173.6667,342123.5
394543,171,"Duluth, MN",msa,MN,153350.9167,166410.6667,185413,203614.3333,217291.25
395030,207,"Rochester, MN",msa,MN,211762.5,229120.5833,249438.3333,275365.6667,276248.8333
395118,230,"St. Cloud, MN",msa,MN,184582.75,199026.5833,220985.75,242432.0833,256376.8333
394637,377,"Grand Forks, ND",msa,MN,198693.3333,198533.4167,204183.4167,217859.1667,221557.75
394823,386,"Mankato, MN",msa,MN,191843.0833,211636.0833,224522.1667,235010.1667,249223.9167
394410,408,"Brainerd, MN",msa,MN,204550.25,225707.5,257586.4167,285272.1667,306444.9167
394586,498,"Faribault, MN",msa,MN,226096.25,241090.4167,271290.25,276478.5,287940.6667
395228,668,"Willmar, MN",msa,MN,153559.1667,174032.75,179719.25,191947,213710.3333
394354,698,"Austin, MN",msa,MN,109209.5833,126625.5,141027.0833,155830.1667,168605.25
394948,730,"Owatonna, MN",msa,MN,164733.8333,187448.6667,205736.3333,233215.9167,249350.5
395121,21,"St. Louis, MO",msa,MO,173795.1667,186664.9167,200777.5,213413.8333,220712.6667
394735,31,"Kansas City, MO",msa,MO,205128.25,223613,250300.0833,277212.8333,283027.6667
395116,118,"Springfield, MO",msa,MO,152651.9167,167123.1667,202808.1667,237347.3333,242734.6667
394485,219,"Columbia, MO",msa,MO,189875.9167,202362.5,223518,249607.3333,267442.75
394729,243,"Joplin, MO",msa,MO,124659.5,138477.3333,156193.3333,168570.5,173782.3333
394723,291,"Jefferson City, MO",msa,MO,146480.6667,160037.5,180033.5,200434.0833,217245.5
395120,343,"St. Joseph, MO",msa,MO,127485.9167,133270.0833,144953.8333,152639.5833,161145.4167
394441,405,"Cape Girardeau, MO",msa,MO,151951.5833,161886.9167,169247.1667,181335.3333,195033
394587,495,"Farmington, MO",msa,MO,125843.75,140933.6667,154546.4167,167508.3333,171456.9167
394411,561,"Branson, MO",msa,MO,152878.25,175038.5833,223546.5833,249413.25,249279.5
395204,578,"Warrensburg, MO",msa,MO,171191.8333,187642.9167,210708.8333,230131.25,248747.0833
394604,580,"Fort Leonard Wood, MO",msa,MO,150439.5833,161611,173338.0833,191106,201223.1667
394993,581,"Poplar Bluff, MO",msa,MO,105682.3333,124507,130370.9167,140110.0833,143538.9167
395037,659,"Rolla, MO",msa,MO,135509.5833,152131.75,167914.5,180572.0833,192747.0833
394781,755,"Lebanon, MO",msa,MO,129546.4167,134666.8333,166134,178956.5,182156.75
394711,98,"Jackson, MS",msa,MS,175754.9167,197567.8333,219276.4167,238962.1667,226139.1667
394658,133,"Gulfport, MS",msa,MS,146200.8333,162128.5,180354.25,203532.0833,210452.9167
394386,239,"Billings, MT",msa,MT,268727.5,286071.25,324959.0833,387054.6667,397747.8333
394867,354,"Missoula, MT",msa,MT,305919.0833,338382.5833,436568,510062.8333,523274.75
394407,356,"Bozeman, MT",msa,MT,392355.9167,445917.4167,573377.75,665089,680649
394733,384,"Kalispell, MT",msa,MT,323114,359848.1667,481954.8333,572975.25,561308.6667
394644,433,"Great Falls, MT",msa,MT,191149.0833,205516.25,234657.25,274785.0833,294633.6667
394675,441,"Helena, MT",msa,MT,265231.5,283558.25,360998,423999.25,419613.1667
394458,23,"Charlotte, NC",msa,NC,228823.75,254583.75,297010.75,344621.75,352225.25
395012,43,"Raleigh, NC",msa,NC,260376.5,283034.4167,337217.3333,395569.25,402681.8333
394648,76,"Greensboro, NC",msa,NC,153435,166362.3333,186868.4167,211065.5,225334.5
395235,89,"Winston, NC",msa,NC,155974.4167,174414.1667,193548.0833,224724,233650
394549,95,"Durham, NC",msa,NC,246985.9167,268208.8333,321534.4167,373025.5833,381665.5833
394589,109,"Fayetteville, NC",msa,NC,149644,162299.1667,183487.4167,206798.5833,219568.0833
394338,121,"Asheville, NC",msa,NC,266616.4167,291003.5,336760.4167,369021.1667,397304.5833
394679,150,"Hickory, NC",msa,NC,154519.9167,174681.6667,192582.0833,219260,234780.3333
395229,174,"Wilmington, NC",msa,NC,240285.8333,269045.0833,303329.4167,358140.0833,389371
394716,227,"Jacksonville, NC",msa,NC,161866,175154,193976.25,224856.8333,249268.1667
394651,259,"Greenville, NC",msa,NC,145044.0833,154396.25,177105.1667,206498.75,221553.4167
394428,260,"Burlington, NC",msa,NC,158630,173465.8333,202078.1667,234104.6667,237463.6667
395036,303,"Rocky Mount, NC",msa,NC,115376.0833,128494.1667,147222.5,169850.1667,170928.1667
